Timestamp,Title,Message,Answer,Lon,Lat
2021-01-10T11:29:42.732000,Cleaning of snow from the Metsävääway from Itäkeskus to Marjaniemi,"Hi again, I have to remind you of the title thing every winter. I have lived ___ for over 30 years and as long as Itäkeskus has been a traffic center so I have had to resemble that. Winter plowing on the fairway. So the fairway begins with the statue of friendship and ends at the intersection of Cat Clock and Palopirtintie. There is no name on the fairway and that is why it does not belong to any cleaning group. However, it is also the only walking route for Marjaniemi's playground and a shop. Not all that it is left to plow, but when the cat bells' pedestrian lane is plowed, its snow is dipped at the beginning of the wild lane so that after the heavy snow is impossible, you can overcome. However, it is the only 'path' for our Marjaniemi walkers that leads to Itäkeskus. In the past, the traffic lights close to the statue of the Park Park have been given to that place precisely because the Marjaniemi people have demanded it. Currently, there are still many large construction sites next to the park that it is impossible to get to Itäkeskus like this parkway. I have previously suggested that you give the fairway a 'own name' that you use to remind the plowing group at the beginning of the winter to which the plow belongs. I would like to finally get this thing in order so that every winter would not have to resemble you. Last week I met Stara's car on the fairway and told them my case (2 people in the car). Apparently they have not taken the matter forward. What do you drive there, unless you take such things forward. Hopefully you will get this up before next week's big snowstorms coming. Thank you,
","
Thanks for your message and thorough feedback. I found that. Based on the information you provided, I marked it on our customer feedback system on the map. Information on this has been transferred to the area's maintenance manager for information.

Have a nice winter week!",25.08618085621703,60.205746627021604
2021-01-11T08:37:41.575000,Snow cleansing was done only partially,"Hey,

Today, snow plowing at Käätypolku, 00950 Helsinki was only performed on one side. All other adjacent streets have been talked about on both sides, so there is no expected plowing car to come to this street. Thanks, however, for the early plowing, but the street is otherwise narrow, so mutual plowing is needed. There are plenty of elderly people on the street.","Hey,

Thank you for your message and apologies for not being happy with the winter maintenance level.

During such an exceptionally dense snowfall, it is often the practice to plow the sidewalks on only one side. In this case, resources can be used and the widest possible area can be facilitated. Of course, the rest is plowed when the snow front has receded.

Have a nice winter week!",25.094627199984906,60.226886869174955
2021-01-11T10:24:35.511000,Thanks,"Hey,
At some point, I called and hoped that at Lappeentie 25, plowing and sanding would be done. When it is often a little short. Now you have to praise and thank you: last week sanding and today plowing was done perfectly well. Big thumbs up for creators.
",,25.100496075272247,60.22239486929349
2021-01-11T18:09:32.068000,Snow work damaged the wood of the plot,"On 11 January 2021, snow work on the street on the street of Kiviportintie and Vartiokyläntie was damaged by the birch standing on Kiviportintie 1 to Toint. In the past years, unknown tractor drivers have destroyed all attempts to grow shrub at this angle (once Starakin planted shrubs, but they did not survive the snow work next winter). Couldn't drivers be trained to manage their devices?","Hey.

Thanks for the notice. Feedback has been transmitted to winter care in the area.",25.102451910796418,60.21893785372673
2021-01-12T09:35:00.930000,The pre -path was hoped for au ...,It was wished for plowing as soon as the streets of class 3 were to be plowed.,,25.093532991368754,60.20383886264591
2021-01-12T14:55:00.486000,Plowing is needed. Street a ...,Plowing is needed. The beginning of the street but was taken care of.,,25.09143988608385,60.21630713795041
2021-01-12T16:37:11.445000,Snow plowing,"Why the city blocking the light traffic route at Niinisaarentie and the small Villasaarentie 7. Here are the piglets as an obstacle that the car is not driven (nor does it carry the foot) when the snow is a terrible pile. For many years, the diligent women of the housing association have been shoveling a fairway from Niinisaarentie to the housing association. To whom the treatment of this area belongs to, no one takes responsibility.","Hey,

thank you for the message. The area is under the care of Stara, so I pass on feedback to the Winter Care foreman.",25.14737458645937,60.22336530441163
2021-01-12T18:58:13.412000,Slippery,"Is there any more sanding in Vuosaari? For example, on a Ulappasilta bridge, the snow is tight and really slippery. Been several days already. There are a lot of pedestrians moving to the subway and the subway.
In many other places in the Vuosaari area, sanding has been non -existent this year, even on big fairways such as Kallvikintie (on the 560 route).",,25.140487154527783,60.2076568670393
2021-01-12T23:43:42.116000,Leppäniementie,"Hey,
Leppäniementie has previously been private but now transferred to the city.
This winter it has never been treated (plowed or sanded) once more.
Is that road on your plow list?
Could you plow the road as much as possible before we get stuck on the peninsula. Thank you!
","Hey,

Thank you for your message. I guided the Leppäniementie end plowing situation on your feedback to the area's supervisor.",25.15032762619682,60.19446120119725
2021-01-13T04:40:02.551000,People can't get to work,Havukuja road is in a condition that the car cannot get to work from the parking lot.,,25.13481938606383,60.202044145764035
2021-01-13T05:50:04.143000,Sanding of Pomerances: ...,"Sanding of Pomerances: Hello,
Is the sand on the bomber at what point? A little bit with the arts with the slippery, so I would like to have a non -slip as soon as possible. Thank you!",,25.153554289768266,60.2059998860831
